index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops,Additional_info,Price,passengers
6379,GoAir,2019-12-13,Jaipur,Kolkata,JAI-COC-MUM-LUC-KOL,01:23,07:05,11h 0min,3 stops,In-flight meal not included,15314,45
6380,IndiGo,2025-03-26,Surat,Bangalore,SUR-CHE-BAN,14:00,22:29,8h 0min,1 stop,In-flight meal not included,12411,129
6381,GoAir,2019-01-22,Jaipur,Nagpur,JAI-CHE-LUC-PUN-NAG,04:42,15:31,15h 45min,3 stops,Business class available,14072,62
6382,Alliance Air,2025-06-08,Surat,Bangalore,SUR-BAN,23:23,15:55,8h 45min,non-stop,In-flight meal not included,9384,60
6383,IndiGo,2021-04-10,Lucknow,Bangalore,LUC-COC-DEL-PUN-BAN,19:50,16:29,13h 30min,3 stops,Limited seats,8864,50
6384,Alliance Air,2021-03-15,Hyderabad,Chennai,HYD-GOA-PAT-RAI-CHE,19:37,12:51,6h 15min,3 stops,Limited seats,14328,26
6385,TruJet,2020-03-14,Hyderabad,Surat,HYD-CHE-PAT-SUR,05:56,21:04,14h 30min,2 stops,Red-eye flight,8710,37
6386,Star Air,2022-08-02,Chennai,Mumbai,CHE-AHM-MUM,23:42,00:50,15h 45min,1 stop,Extra baggage allowed,6753,44
6387,IndiGo,2021-11-06,Patna,Cochin,PAT-DEL-GOA-COC,05:55,15:47,13h 15min,2 stops,1 Long layover,14148,83
6388,IndiGo,2022-03-08,Jaipur,Bangalore,JAI-IND-COC-AHM-BAN,10:07,07:50,8h 0min,3 stops,New aircraft,8826,50
6389,IndiGo,2023-08-11,Nagpur,Lucknow,NAG-LUC,23:57,14:23,1h 15min,non-stop,Extra baggage allowed,4114,119
6390,Star Air,2025-09-03,Indore,Chennai,IND-COC-JAI-CHE,13:03,23:37,1h 15min,2 stops,No info,6515,36
6391,Air India,2020-06-03,Bhubaneswar,Varanasi,BHU-BAN-VAR,16:50,06:05,3h 15min,1 stop,New aircraft,7354,157
6392,Star Air,2022-11-25,Bangalore,Delhi,BAN-PUN-RAI-DEL,01:19,05:12,2h 15min,2 stops,In-flight meal not included,11609,31
6393,Vistara,2020-04-10,Lucknow,Varanasi,LUC-AHM-VAR,23:16,23:38,8h 15min,1 stop,New aircraft,9252,118
6394,Alliance Air,2024-03-19,Chennai,Hyderabad,CHE-HYD,00:25,23:48,15h 15min,non-stop,WiFi available,3950,52
6395,Akasa Air,2020-05-22,Nagpur,Guwahati,NAG-DEL-GUW,20:23,22:38,1h 45min,1 stop,Limited seats,9762,85
6396,TruJet,2021-03-05,Pune,Bhubaneswar,PUN-GUW-DEL-BAN-BHU,21:33,18:45,11h 0min,3 stops,Red-eye flight,7183,36
6397,Akasa Air,2023-10-25,Goa,Bhubaneswar,GOA-BHU,10:39,19:10,10h 30min,non-stop,New aircraft,8335,153
6398,Vistara,2024-05-16,Kolkata,Raipur,KOL-RAI,05:25,19:14,3h 15min,non-stop,Business class available,11762,100
6399,IndiGo,2019-01-01,Delhi,Kolkata,DEL-SUR-KOL,01:13,08:47,4h 15min,1 stop,Limited seats,8546,125
6400,IndiGo,2021-03-13,Mumbai,Chennai,MUM-CHE,17:55,19:27,8h 0min,non-stop,New aircraft,9437,131
6401,Vistara,2025-09-15,Mumbai,Pune,MUM-PUN,14:22,02:44,10h 0min,non-stop,No info,5366,147
6402,Akasa Air,2021-12-28,Patna,Bhubaneswar,PAT-NAG-VAR-RAI-BHU,05:27,22:45,12h 15min,3 stops,In-flight meal not included,8018,101
6403,Vistara,2020-07-01,Kolkata,Mumbai,KOL-DEL-MUM,01:27,18:36,15h 0min,1 stop,In-flight meal not included,12430,125
6404,IndiGo,2024-09-09,Mumbai,Goa,MUM-GOA,01:42,21:27,5h 15min,non-stop,In-flight meal not included,2902,139
6405,Star Air,2022-06-19,Bangalore,Mumbai,BAN-RAI-MUM,00:52,10:43,12h 0min,1 stop,WiFi available,11949,64
6406,Vistara,2024-12-08,Pune,Nagpur,PUN-RAI-NAG,21:02,04:18,15h 0min,1 stop,Red-eye flight,5384,90
6407,Air India,2019-02-24,Mumbai,Kolkata,MUM-KOL,19:23,03:13,7h 45min,non-stop,Business class available,6892,228
6408,Alliance Air,2023-11-18,Surat,Bangalore,SUR-COC-PAT-BAN,05:36,10:48,11h 45min,2 stops,New aircraft,13404,51
6409,IndiGo,2020-11-27,Goa,Jaipur,GOA-IND-KOL-AHM-JAI,17:56,09:10,2h 45min,3 stops,New aircraft,11604,53
6410,Vistara,2022-11-26,Lucknow,Kolkata,LUC-KOL,04:43,14:14,7h 45min,non-stop,In-flight meal not included,5337,96
6411,Air India,2020-10-13,Ahmedabad,Goa,AHM-LUC-GOA,14:56,21:17,3h 30min,1 stop,In-flight meal not included,5232,255
6412,Vistara,2019-09-08,Goa,Raipur,GOA-IND-PUN-COC-RAI,07:29,22:08,3h 30min,3 stops,Limited seats,11572,51
6413,Alliance Air,2025-03-03,Mumbai,Guwahati,MUM-BAN-RAI-GUW,21:59,11:39,15h 45min,2 stops,WiFi available,8109,36
6414,Star Air,2021-06-22,Raipur,Delhi,RAI-SUR-COC-DEL,13:31,15:15,7h 45min,2 stops,1 Long layover,9395,41
6415,AirAsia India,2019-09-23,Surat,Jaipur,SUR-NAG-RAI-CHE-JAI,10:42,21:04,6h 15min,3 stops,1 Long layover,8469,67
6416,Star Air,2023-09-07,Cochin,Kolkata,COC-RAI-SUR-KOL,17:39,19:08,15h 0min,2 stops,New aircraft,7530,39
6417,SpiceJet,2024-07-05,Hyderabad,Guwahati,HYD-JAI-COC-NAG-GUW,01:47,15:44,9h 45min,3 stops,New aircraft,15143,50
6418,Air India,2019-06-25,Delhi,Mumbai,DEL-KOL-CHE-MUM,17:13,12:50,3h 0min,2 stops,1 Long layover,9941,103
6419,GoAir,2021-08-16,Lucknow,Bangalore,LUC-BAN,09:53,06:51,1h 0min,non-stop,WiFi available,9987,130
6420,Vistara,2025-04-18,Hyderabad,Pune,HYD-PUN,21:17,18:01,10h 45min,non-stop,No info,3337,117
6421,AirAsia India,2024-09-02,Indore,Raipur,IND-VAR-RAI,14:25,08:18,1h 45min,1 stop,New aircraft,10815,114
6422,GoAir,2023-11-01,Surat,Bhubaneswar,SUR-PAT-BHU,18:31,03:16,2h 45min,1 stop,Business class available,4904,86
6423,SpiceJet,2024-12-11,Cochin,Delhi,COC-IND-PAT-PUN-DEL,13:18,17:36,4h 30min,3 stops,Extra baggage allowed,9963,53
6424,Star Air,2019-07-08,Indore,Surat,IND-SUR,04:36,12:46,5h 45min,non-stop,In-flight meal not included,9354,36
6425,Alliance Air,2025-12-03,Lucknow,Bangalore,LUC-RAI-BAN,09:20,18:07,9h 30min,1 stop,Extra baggage allowed,4345,48
6426,Akasa Air,2020-05-20,Mumbai,Guwahati,MUM-BHU-GUW,07:26,03:09,15h 15min,1 stop,Limited seats,11293,78
6427,IndiGo,2021-02-19,Ahmedabad,Mumbai,AHM-VAR-MUM,19:27,16:10,12h 30min,1 stop,Red-eye flight,4291,143
6428,SpiceJet,2020-11-13,Indore,Mumbai,IND-VAR-MUM,03:04,18:02,2h 45min,1 stop,In-flight meal not included,9534,94
6429,TruJet,2025-01-11,Delhi,Patna,DEL-NAG-RAI-PAT,04:32,04:54,4h 45min,2 stops,WiFi available,12488,27
6430,Alliance Air,2020-03-12,Goa,Nagpur,GOA-NAG,01:51,21:21,13h 0min,non-stop,Extra baggage allowed,10155,48
6431,SpiceJet,2024-08-15,Cochin,Indore,COC-MUM-SUR-IND,12:32,09:06,7h 30min,2 stops,Limited seats,5081,81
6432,Star Air,2021-10-17,Hyderabad,Ahmedabad,HYD-PUN-VAR-BHU-AHM,02:00,07:44,2h 30min,3 stops,Business class available,12001,40
6433,IndiGo,2019-08-07,Goa,Bhubaneswar,GOA-IND-BHU,23:12,21:56,15h 15min,1 stop,Limited seats,12822,84
6434,Star Air,2019-01-28,Pune,Ahmedabad,PUN-GUW-VAR-AHM,02:05,08:02,14h 30min,2 stops,1 Long layover,10562,36
6435,Alliance Air,2020-07-09,Varanasi,Kolkata,VAR-PUN-KOL,09:35,08:08,6h 45min,1 stop,No info,5052,62
6436,SpiceJet,2019-01-01,Chennai,Kolkata,CHE-KOL,02:11,12:28,14h 15min,non-stop,Limited seats,8356,113
6437,IndiGo,2019-08-13,Bangalore,Nagpur,BAN-LUC-NAG,01:32,20:53,5h 15min,1 stop,In-flight meal not included,8644,151
6438,Akasa Air,2021-01-16,Nagpur,Hyderabad,NAG-IND-HYD,04:50,14:07,15h 15min,1 stop,No info,7507,119
6439,TruJet,2021-05-15,Guwahati,Goa,GUW-DEL-HYD-GOA,07:38,12:36,7h 0min,2 stops,In-flight meal not included,12781,33
6440,AirAsia India,2019-01-26,Raipur,Lucknow,RAI-JAI-NAG-LUC,01:05,09:31,14h 45min,2 stops,WiFi available,8074,54
6441,TruJet,2025-11-12,Varanasi,Mumbai,VAR-HYD-LUC-MUM,08:41,10:12,11h 45min,2 stops,Limited seats,6753,34
6442,TruJet,2025-04-21,Bangalore,Pune,BAN-PUN,17:03,00:09,3h 45min,non-stop,Extra baggage allowed,11064,66
6443,AirAsia India,2023-02-13,Delhi,Bhubaneswar,DEL-PUN-BHU,14:58,10:04,3h 30min,1 stop,No info,8577,110
6444,AirAsia India,2025-06-26,Hyderabad,Kolkata,HYD-KOL,08:54,22:54,4h 30min,non-stop,No info,2595,148
6445,IndiGo,2023-05-17,Mumbai,Delhi,MUM-IND-CHE-NAG-DEL,11:37,09:47,6h 15min,3 stops,Limited seats,9498,77
6446,Air India,2020-09-20,Jaipur,Bhubaneswar,JAI-COC-DEL-GOA-BHU,12:19,19:13,9h 15min,3 stops,No info,8201,96
6447,IndiGo,2021-01-08,Pune,Bhubaneswar,PUN-SUR-BHU,05:33,13:38,8h 45min,1 stop,1 Long layover,11539,89
6448,Alliance Air,2023-05-22,Cochin,Nagpur,COC-VAR-AHM-NAG,17:07,06:12,12h 15min,2 stops,WiFi available,8278,41
6449,Air India,2019-12-26,Bangalore,Nagpur,BAN-COC-GUW-IND-NAG,03:50,07:45,7h 0min,3 stops,Extra baggage allowed,10017,63
6450,Air India,2025-11-22,Bhubaneswar,Ahmedabad,BHU-CHE-MUM-DEL-AHM,04:45,20:06,15h 15min,3 stops,In-flight meal not included,12436,93
6451,TruJet,2023-12-13,Ahmedabad,Pune,AHM-PUN,21:23,00:52,9h 45min,non-stop,Extra baggage allowed,6412,66
6452,Star Air,2024-05-13,Surat,Cochin,SUR-COC,21:04,19:30,7h 30min,non-stop,Red-eye flight,7267,53
6453,Star Air,2021-03-21,Guwahati,Goa,GUW-CHE-KOL-GOA,12:32,10:21,10h 45min,2 stops,Red-eye flight,9124,51
6454,GoAir,2023-07-10,Nagpur,Patna,NAG-AHM-CHE-VAR-PAT,15:30,02:44,6h 0min,3 stops,No info,11205,65
6455,GoAir,2022-01-05,Guwahati,Delhi,GUW-HYD-DEL,05:21,21:39,9h 45min,1 stop,No info,8479,86
6456,TruJet,2022-01-11,Patna,Kolkata,PAT-KOL,05:05,19:57,4h 15min,non-stop,No info,4657,36
6457,AirAsia India,2024-01-25,Bhubaneswar,Pune,BHU-COC-HYD-PUN,08:19,19:06,8h 0min,2 stops,Limited seats,15815,60
6458,Vistara,2019-11-26,Surat,Lucknow,SUR-IND-DEL-GUW-LUC,23:17,03:06,14h 15min,3 stops,Business class available,10633,67
6459,GoAir,2021-07-03,Lucknow,Kolkata,LUC-KOL,09:45,18:49,9h 45min,non-stop,Extra baggage allowed,5216,122
6460,Akasa Air,2019-08-07,Raipur,Bangalore,RAI-DEL-COC-BAN,17:38,23:43,5h 30min,2 stops,Red-eye flight,13369,87
6461,SpiceJet,2020-03-01,Ahmedabad,Goa,AHM-HYD-GOA,11:03,06:16,8h 45min,1 stop,No info,9964,89
6462,IndiGo,2020-07-09,Raipur,Lucknow,RAI-HYD-LUC,20:50,05:44,14h 15min,1 stop,Limited seats,7772,115
6463,Vistara,2023-04-09,Pune,Kolkata,PUN-IND-MUM-KOL,20:29,17:02,15h 30min,2 stops,In-flight meal not included,12521,86
6464,Vistara,2019-08-02,Chennai,Lucknow,CHE-PAT-LUC,03:31,16:41,8h 15min,1 stop,Extra baggage allowed,9926,97
6465,Akasa Air,2024-06-04,Indore,Surat,IND-SUR,05:38,13:38,13h 15min,non-stop,No info,7948,138
6466,GoAir,2023-02-17,Ahmedabad,Indore,AHM-PUN-VAR-SUR-IND,01:59,20:57,8h 30min,3 stops,WiFi available,15764,56
6467,GoAir,2020-10-02,Indore,Patna,IND-PAT,16:26,08:34,14h 30min,non-stop,New aircraft,4095,100
6468,GoAir,2025-01-20,Nagpur,Bhubaneswar,NAG-MUM-BHU,10:39,17:58,11h 15min,1 stop,WiFi available,11035,93
6469,Air India,2019-06-17,Cochin,Ahmedabad,COC-AHM,06:57,19:40,14h 15min,non-stop,Extra baggage allowed,11403,88
6470,SpiceJet,2023-06-19,Cochin,Nagpur,COC-SUR-GUW-NAG,04:27,21:56,13h 15min,2 stops,WiFi available,9141,77
6471,IndiGo,2025-04-08,Ahmedabad,Pune,AHM-SUR-DEL-VAR-PUN,23:51,23:23,11h 45min,3 stops,No info,11155,62
6472,Air India,2023-01-16,Surat,Jaipur,SUR-JAI,08:23,09:43,8h 30min,non-stop,Business class available,3126,104
6473,Air India,2025-11-22,Goa,Indore,GOA-BAN-IND,16:13,13:59,7h 30min,1 stop,In-flight meal not included,5768,192
6474,Vistara,2019-10-14,Delhi,Raipur,DEL-VAR-BHU-RAI,01:55,08:09,6h 45min,2 stops,WiFi available,10025,115
6475,Air India,2020-10-16,Indore,Mumbai,IND-NAG-BAN-MUM,07:15,16:08,6h 15min,2 stops,WiFi available,10860,76
6476,SpiceJet,2019-08-06,Hyderabad,Mumbai,HYD-RAI-MUM,15:21,18:13,10h 45min,1 stop,In-flight meal not included,7738,119
6477,Akasa Air,2019-03-20,Raipur,Mumbai,RAI-GOA-PUN-MUM,04:27,21:16,11h 45min,2 stops,Business class available,10811,129
6478,AirAsia India,2025-09-24,Cochin,Delhi,COC-SUR-MUM-DEL,13:15,02:42,14h 0min,2 stops,No info,7696,96
6479,TruJet,2021-10-01,Jaipur,Indore,JAI-GOA-IND,07:33,11:11,14h 30min,1 stop,Limited seats,4733,36
6480,TruJet,2019-04-25,Bangalore,Guwahati,BAN-IND-GOA-GUW,19:05,23:31,7h 30min,2 stops,Red-eye flight,8032,51
6481,Vistara,2024-11-10,Kolkata,Raipur,KOL-RAI,05:18,16:18,5h 0min,non-stop,Business class available,10986,118
6482,GoAir,2021-09-24,Lucknow,Chennai,LUC-CHE,10:35,14:06,13h 45min,non-stop,Business class available,5727,104
6483,AirAsia India,2023-01-15,Pune,Ahmedabad,PUN-COC-SUR-AHM,07:28,21:09,2h 15min,2 stops,Business class available,7576,106
6484,AirAsia India,2020-04-02,Surat,Delhi,SUR-CHE-GUW-PUN-DEL,22:33,05:51,6h 15min,3 stops,In-flight meal not included,16420,49
6485,GoAir,2020-04-09,Guwahati,Delhi,GUW-GOA-COC-SUR-DEL,12:41,01:07,3h 30min,3 stops,1 Long layover,13339,49
6486,Air India,2020-10-13,Hyderabad,Bangalore,HYD-SUR-JAI-BAN,04:19,05:45,11h 45min,2 stops,Extra baggage allowed,8031,75
6487,GoAir,2024-08-16,Patna,Hyderabad,PAT-NAG-HYD,00:44,18:26,12h 15min,1 stop,Extra baggage allowed,7917,115
6488,Alliance Air,2020-09-01,Goa,Nagpur,GOA-NAG,11:37,15:16,14h 30min,non-stop,Business class available,8148,55
6489,AirAsia India,2024-08-15,Bhubaneswar,Varanasi,BHU-GUW-MUM-HYD-VAR,13:49,15:44,13h 15min,3 stops,In-flight meal not included,10701,48
6490,AirAsia India,2019-08-21,Chennai,Kolkata,CHE-GUW-VAR-BHU-KOL,09:28,18:13,8h 0min,3 stops,Extra baggage allowed,9533,92
6491,GoAir,2023-01-28,Bangalore,Surat,BAN-CHE-COC-NAG-SUR,22:10,19:58,9h 0min,3 stops,Red-eye flight,9890,60
6492,Akasa Air,2024-09-15,Ahmedabad,Surat,AHM-BAN-KOL-SUR,00:27,10:38,10h 15min,2 stops,1 Long layover,8696,81
6493,GoAir,2019-02-19,Hyderabad,Guwahati,HYD-CHE-NAG-BHU-GUW,03:31,05:08,10h 0min,3 stops,WiFi available,10790,88
6494,Star Air,2022-06-26,Jaipur,Patna,JAI-GOA-RAI-PAT,01:22,17:30,1h 30min,2 stops,Red-eye flight,13991,34
6495,Air India,2025-08-03,Guwahati,Pune,GUW-PUN,15:47,10:49,2h 45min,non-stop,Limited seats,8184,125
6496,TruJet,2024-09-06,Bhubaneswar,Jaipur,BHU-KOL-PAT-JAI,10:08,22:44,12h 15min,2 stops,No info,5548,36
6497,AirAsia India,2024-08-11,Goa,Patna,GOA-CHE-RAI-IND-PAT,07:45,14:11,6h 0min,3 stops,New aircraft,6557,40
6498,IndiGo,2019-06-20,Guwahati,Patna,GUW-VAR-LUC-PAT,16:13,21:53,5h 30min,2 stops,In-flight meal not included,11503,87
6499,Alliance Air,2025-11-03,Pune,Nagpur,PUN-SUR-KOL-NAG,13:37,08:39,11h 0min,2 stops,No info,13063,29
6500,TruJet,2021-11-03,Pune,Chennai,PUN-DEL-PAT-CHE,21:37,04:34,6h 45min,2 stops,WiFi available,10157,28
6501,SpiceJet,2024-05-08,Lucknow,Indore,LUC-IND,17:02,15:50,14h 0min,non-stop,Business class available,5061,160
6502,AirAsia India,2022-02-18,Raipur,Guwahati,RAI-MUM-AHM-GUW,11:31,02:18,4h 30min,2 stops,1 Long layover,8099,114
6503,IndiGo,2024-02-09,Pune,Bangalore,PUN-VAR-SUR-HYD-BAN,09:07,17:20,4h 30min,3 stops,WiFi available,7997,77
6504,Alliance Air,2019-01-08,Nagpur,Bhubaneswar,NAG-MUM-BHU,09:50,02:30,11h 30min,1 stop,New aircraft,11731,51
6505,Alliance Air,2023-01-21,Lucknow,Ahmedabad,LUC-AHM,21:58,10:09,15h 15min,non-stop,Extra baggage allowed,8481,67
6506,Alliance Air,2025-01-06,Hyderabad,Jaipur,HYD-DEL-MUM-COC-JAI,23:14,20:58,9h 45min,3 stops,No info,15491,18
6507,TruJet,2025-11-02,Lucknow,Cochin,LUC-DEL-NAG-KOL-COC,20:24,14:10,4h 45min,3 stops,New aircraft,7825,18
6508,IndiGo,2025-04-23,Mumbai,Patna,MUM-DEL-PAT,20:43,09:09,11h 45min,1 stop,No info,4027,130
6509,TruJet,2024-08-17,Nagpur,Ahmedabad,NAG-PUN-AHM,16:00,15:13,11h 45min,1 stop,Extra baggage allowed,5016,39
6510,AirAsia India,2020-04-14,Bangalore,Delhi,BAN-DEL,01:50,00:21,7h 15min,non-stop,Extra baggage allowed,5683,132
6511,AirAsia India,2024-07-11,Ahmedabad,Pune,AHM-RAI-PUN,17:03,03:31,14h 30min,1 stop,In-flight meal not included,10016,126
6512,AirAsia India,2025-08-24,Cochin,Patna,COC-GOA-IND-VAR-PAT,18:58,10:13,8h 45min,3 stops,Business class available,7795,58
6513,Air India,2024-01-18,Goa,Delhi,GOA-DEL,18:10,15:07,1h 45min,non-stop,WiFi available,6470,129
6514,IndiGo,2024-09-05,Bhubaneswar,Raipur,BHU-IND-JAI-CHE-RAI,14:51,22:22,11h 30min,3 stops,Limited seats,6393,78
6515,Vistara,2024-05-05,Raipur,Jaipur,RAI-HYD-VAR-KOL-JAI,01:23,19:12,3h 45min,3 stops,WiFi available,9247,71
6516,Air India,2024-03-23,Bangalore,Surat,BAN-LUC-PAT-MUM-SUR,08:39,04:01,9h 30min,3 stops,1 Long layover,8132,171
6517,AirAsia India,2019-08-26,Delhi,Pune,DEL-PUN,14:53,23:57,7h 45min,non-stop,Red-eye flight,6604,156
6518,Akasa Air,2025-03-07,Mumbai,Indore,MUM-AHM-PAT-JAI-IND,14:47,16:36,8h 0min,3 stops,No info,13250,90
6519,AirAsia India,2024-07-10,Chennai,Patna,CHE-PAT,02:46,04:55,3h 30min,non-stop,No info,3050,146
6520,IndiGo,2019-02-14,Goa,Patna,GOA-DEL-CHE-PAT,20:18,00:41,11h 30min,2 stops,Red-eye flight,11416,105
6521,Star Air,2019-01-28,Guwahati,Chennai,GUW-CHE,16:24,04:04,4h 30min,non-stop,New aircraft,4796,39
6522,AirAsia India,2022-10-22,Mumbai,Indore,MUM-IND,23:03,19:03,2h 0min,non-stop,Extra baggage allowed,11812,97
6523,TruJet,2023-07-07,Chennai,Surat,CHE-SUR,18:36,07:00,7h 0min,non-stop,WiFi available,5605,35
6524,IndiGo,2023-08-26,Mumbai,Delhi,MUM-BAN-PUN-COC-DEL,08:37,19:15,8h 30min,3 stops,Extra baggage allowed,11840,50
6525,Vistara,2022-05-16,Raipur,Goa,RAI-DEL-BHU-GOA,23:10,00:15,3h 30min,2 stops,New aircraft,14150,98
6526,Vistara,2024-06-18,Cochin,Mumbai,COC-GUW-MUM,09:28,21:40,5h 30min,1 stop,Red-eye flight,9195,143
6527,TruJet,2022-12-05,Chennai,Nagpur,CHE-NAG,22:57,08:54,13h 30min,non-stop,New aircraft,11566,51
6528,TruJet,2020-04-23,Hyderabad,Goa,HYD-NAG-GOA,14:44,23:17,7h 45min,1 stop,Limited seats,5577,40
6529,GoAir,2022-04-25,Chennai,Lucknow,CHE-LUC,22:38,07:24,5h 30min,non-stop,Business class available,8449,150
6530,Alliance Air,2020-02-02,Varanasi,Guwahati,VAR-AHM-GUW,11:09,02:21,9h 30min,1 stop,Red-eye flight,4176,55
6531,Star Air,2021-06-27,Goa,Mumbai,GOA-MUM,05:34,00:29,3h 0min,non-stop,Limited seats,9816,43
6532,Air India,2022-01-15,Delhi,Jaipur,DEL-AHM-JAI,18:01,05:48,13h 45min,1 stop,Red-eye flight,4755,113
6533,Akasa Air,2024-09-20,Ahmedabad,Varanasi,AHM-SUR-IND-VAR,04:18,05:15,9h 45min,2 stops,1 Long layover,13311,124
6534,Alliance Air,2025-03-05,Chennai,Raipur,CHE-LUC-DEL-MUM-RAI,05:16,10:40,6h 30min,3 stops,Business class available,9494,27
6535,Akasa Air,2024-07-20,Goa,Surat,GOA-PAT-RAI-SUR,18:30,22:10,9h 15min,2 stops,Limited seats,11844,68
6536,SpiceJet,2025-06-09,Bhubaneswar,Nagpur,BHU-SUR-COC-MUM-NAG,08:21,16:44,10h 45min,3 stops,In-flight meal not included,15347,58
6537,Akasa Air,2021-12-02,Lucknow,Indore,LUC-DEL-IND,14:31,07:12,14h 30min,1 stop,No info,13598,98
6538,TruJet,2020-12-11,Kolkata,Bhubaneswar,KOL-DEL-MUM-RAI-BHU,03:46,02:01,11h 30min,3 stops,Red-eye flight,8640,38
6539,SpiceJet,2021-10-17,Bangalore,Delhi,BAN-PAT-IND-KOL-DEL,22:25,18:03,4h 30min,3 stops,No info,11411,56
6540,Star Air,2022-02-08,Nagpur,Cochin,NAG-JAI-COC,13:32,22:31,12h 0min,1 stop,Red-eye flight,5354,52
6541,GoAir,2019-11-17,Jaipur,Bangalore,JAI-BAN,10:57,04:18,12h 30min,non-stop,Business class available,10303,111
6542,TruJet,2020-07-28,Cochin,Jaipur,COC-NAG-JAI,12:53,10:36,14h 15min,1 stop,In-flight meal not included,7503,35
6543,Star Air,2021-09-21,Varanasi,Bhubaneswar,VAR-GUW-BHU,22:30,13:57,5h 15min,1 stop,In-flight meal not included,10480,44
6544,AirAsia India,2024-09-03,Kolkata,Ahmedabad,KOL-CHE-AHM,12:42,14:21,13h 30min,1 stop,In-flight meal not included,12560,99
6545,TruJet,2022-09-22,Raipur,Surat,RAI-COC-KOL-BHU-SUR,21:46,15:50,8h 45min,3 stops,Extra baggage allowed,7562,25
6546,Akasa Air,2020-07-17,Bhubaneswar,Ahmedabad,BHU-LUC-RAI-JAI-AHM,12:49,22:02,10h 30min,3 stops,New aircraft,11407,53
6547,GoAir,2022-03-05,Jaipur,Pune,JAI-GUW-MUM-PUN,13:23,07:50,7h 15min,2 stops,WiFi available,7149,85
6548,Vistara,2024-05-10,Pune,Hyderabad,PUN-GOA-SUR-AHM-HYD,11:03,12:24,2h 30min,3 stops,New aircraft,8118,58
6549,Vistara,2021-01-17,Surat,Varanasi,SUR-KOL-JAI-VAR,07:05,12:45,4h 30min,2 stops,Extra baggage allowed,13653,112
6550,GoAir,2020-06-07,Lucknow,Jaipur,LUC-IND-JAI,04:42,22:34,12h 30min,1 stop,Limited seats,5694,103
6551,GoAir,2023-12-22,Cochin,Ahmedabad,COC-NAG-AHM,02:26,23:40,12h 30min,1 stop,Red-eye flight,12209,144
6552,GoAir,2019-10-22,Indore,Patna,IND-GOA-GUW-SUR-PAT,16:42,19:55,11h 45min,3 stops,Red-eye flight,16554,51
6553,Alliance Air,2022-05-21,Chennai,Surat,CHE-SUR,18:15,11:25,7h 0min,non-stop,1 Long layover,5711,52
6554,Akasa Air,2025-09-18,Bangalore,Bhubaneswar,BAN-HYD-VAR-BHU,10:00,17:06,15h 45min,2 stops,New aircraft,13150,60
6555,Vistara,2020-02-18,Pune,Raipur,PUN-VAR-PAT-RAI,01:23,02:22,3h 45min,2 stops,1 Long layover,9077,88
6556,GoAir,2022-11-16,Bangalore,Patna,BAN-IND-GUW-PAT,03:45,19:33,2h 15min,2 stops,Business class available,4717,101
6557,Vistara,2023-07-06,Mumbai,Lucknow,MUM-CHE-LUC,03:01,06:36,14h 45min,1 stop,Limited seats,13357,115
6558,Alliance Air,2023-02-11,Indore,Delhi,IND-DEL,20:32,20:00,4h 30min,non-stop,Limited seats,6624,41
6559,Akasa Air,2025-05-22,Bhubaneswar,Guwahati,BHU-DEL-PUN-NAG-GUW,22:41,11:25,8h 45min,3 stops,Business class available,13652,68
6560,Star Air,2025-01-04,Pune,Ahmedabad,PUN-AHM,22:26,11:11,15h 0min,non-stop,Extra baggage allowed,3497,61
6561,Akasa Air,2023-05-13,Chennai,Mumbai,CHE-GUW-PUN-LUC-MUM,21:02,14:48,6h 30min,3 stops,In-flight meal not included,6680,75
6562,Star Air,2019-03-18,Lucknow,Varanasi,LUC-VAR,01:29,21:45,1h 15min,non-stop,Limited seats,7905,55
6563,TruJet,2021-04-08,Varanasi,Surat,VAR-GUW-GOA-DEL-SUR,00:03,02:52,1h 45min,3 stops,WiFi available,9193,23
6564,Akasa Air,2021-01-25,Hyderabad,Pune,HYD-LUC-SUR-DEL-PUN,15:03,12:40,14h 0min,3 stops,WiFi available,16327,39
6565,GoAir,2025-11-02,Raipur,Chennai,RAI-IND-GUW-PAT-CHE,07:45,13:09,9h 30min,3 stops,No info,15781,60
6566,SpiceJet,2019-02-25,Goa,Jaipur,GOA-SUR-JAI,23:03,08:29,6h 45min,1 stop,Extra baggage allowed,11028,138
6567,Air India,2024-12-21,Kolkata,Bhubaneswar,KOL-IND-NAG-BHU,16:41,13:24,2h 0min,2 stops,New aircraft,10194,137
6568,Air India,2021-09-03,Cochin,Jaipur,COC-RAI-KOL-JAI,00:06,06:53,10h 30min,2 stops,In-flight meal not included,10514,83
6569,TruJet,2019-06-23,Bangalore,Bhubaneswar,BAN-PAT-BHU,04:43,05:36,7h 15min,1 stop,In-flight meal not included,5129,42
6570,Akasa Air,2024-05-15,Nagpur,Chennai,NAG-CHE,00:26,05:22,2h 15min,non-stop,New aircraft,8132,99
6571,AirAsia India,2023-08-28,Jaipur,Guwahati,JAI-NAG-KOL-GUW,18:30,13:33,11h 30min,2 stops,Business class available,13116,84
6572,Alliance Air,2024-10-09,Mumbai,Lucknow,MUM-PAT-RAI-LUC,17:02,17:30,4h 45min,2 stops,Red-eye flight,8645,29
6573,TruJet,2020-02-16,Nagpur,Ahmedabad,NAG-GOA-LUC-AHM,15:47,03:02,4h 15min,2 stops,Business class available,7606,27
